Position,Classification_Code,Current lowest step
Accountant 1,1316,1
Accountant 2,1317,1
Accountant 3,1318,1
Accounting Technician,313,1
Activities Coordinator,6530,1
Administrative Law Judge 1,1510,1
Administrative Law Judge 2,1511,1
Administrative Law Judge 3,1513,1
Administrative Specialist 1,107,1
Administrative Specialist 2,108,1
Adult Protective Service Specialist,6616,1
Aerial Photographer,3540,1
Aircraft Pilot,8333,1
Appraiser Analyst 1,735,1
Appraiser Analyst 2,736,1
Appraiser Analyst 3,737,1
Appraiser Analyst 4,738,1
Apprenticeship Representative,4380,1
Automotive Fleet Attendant,4417,2
Automotive Technician 1,4418,1
Automotive Technician 2,4419,1
Behavioral Health Specialist 1,6531,1
Behavioral Health Specialist 2,6534,1
Behavioral Health Specialist 3,6535,1
Biological Science Assistant,3769,4
Business & Employment Specialist 2,6699,1
Carpenter,4003,1
Certified Occupation Therapist Assistant,6506,1
Chaplain,6680,1
Chemist 1,3715,1
Chemist 2,3716,1
Chemist 3,3717,1
Child Nutrition Specialist,5950,1
Child Support Case Manager,5139,1
Child Support Case Manager Entry,5138,1
Child Support Specialist,5133,1
Civil Engineering Specialist 1,3136,1
Civil Rights Investigator 1,5340,1
Civil Rights Investigator 2,5341,1
Claims Representative 1,5307,1
Claims Representative 2,5308,1
Client Care Surveyor,6685,1
Clinical Laboratory Scientist,6833,1
Clinical Psychologist 1,6394,1
Clinical Psychologist 2,6395,1
Communicable Disease Analyst,5903,1
Community Outreach Specialist,6614,1
Compliance Specialist 1,5346,1
Compliance Specialist 2,5347,1
Compliance Specialist 3,5348,1
Construction Inspector,3365,1
Construction Project Manager 1,3367,1
Construction Project Manager 2,3368,1
Construction Project Manager 3,3369,1
Cook,9117,1
Custodial Services Coordinator,4103,3
Custodian,4101,6
Data Entry Control Technician,1475,4
Data Entry Operator,501,4
Dental Assistant 2,6394,1
Dental Hygienist,6396,1
Dietitian 2,6371,1
Disability Analyst 1,5936,1
Disability Analyst 2,5937,1
District Veterinarian,6440,1
DOJ Claims Examiner,5933,1
Dormitory Counselor 1,6767,1
Dormitory Counselor 2,6768,1
Economist 1,1161,1
Economist 2,1163,1
Economist 3,1163,1
Economist 4,1164,1
Education Program Specialist 1,3300,1
Education Program Specialist 2,3301,1
Electrician 2,4008,1
Electrician 3,4009,1
Electronic Publishing Design Specialist 1,3510,1
Electronic Publishing Design Specialist 2,3511,1
Electronic Publishing Design Specialist 3,3513,1
Electronic Security Technician 2,4051,1
Employment Adjudicator,6693,1
Employment Appeals Board Legal Staff,1543,1
Engineering Technician 2,3110,1
Engineering Technician 3,3111,1
Environmental Engineer 2,3411,1
Environmental Engineer 3,3413,1
Environmental Health Specialist 3,3819,1
Epidemiologist 1,6316,1
Epidemiologist 2,6317,1
Epidemiologist 3,6318,1
Equipment Operator,4433,1
Executive Assistant,830,1
Executive Support Specialist 1,118,1
Executive Support Specialist 2,119,1
Facilities Engineer 1,3351,1
Facilities Engineer 3,3353,1
Facility Energy Technician 2,4033,1
Facility Energy Technician 3,4034,1
Facility Energy Technician 4,4035,1
Facility Maintenance Specialist,4013,1
Facility Operations Specialist 1,4014,1
Facility Operations Specialist 2,4015,1
Financial Enforcement Officer,1547,1
Financial Examiner 1,5675,1
Financial Examiner 2,5676,1
Financial Examiner 3,5677,1
Financial Investigator 1,5335,1
Fiscal Analyst 1,1343,1
Fiscal Analyst 2,1344,1
Fiscal Analyst 3,1345,1
Fiscal Auditor 1,5641,1
Fish and Wildlife Technical Coordinator,8346,1
Fish and Wildlife Technician,8341,1
Fish and Wildlife Technician Entry,8340,3
Fish and Wildlife Technician Senior,8343,1
Food Service Worker,9103,3
Forest Crew Coordinator,8318,1
Forest Lookout,8353,5
Forest Management Technician,8311,1
Forest Officer,8357,1
Geologist 2,3531,1
Governmental Auditor 1,5646,1
Governmental Auditor 2,5647,1
Governmental Auditor 3,5648,1
Grounds Maintenance Worker 1,4109,2
Grounds Maintenance Worker 2,4110,1
Group Life Coordinator 1,6750,1
Group Life Coordinator 2,6751,1
Hairdresser,9300,5
Health Care Investigator/Advisor,5911,1
Health Information Specialist,15,1
Heavy Equipment Technician 1,4437,5
Heavy Equipment Technician 2,4438,5
Human Services Assistant 2,6606,1
Human Services Case Manager,6630,1
Human Services Specialist 1,6657,1
Human Services Specialist 2,6658,1
Human Services Specialist 3,6659,1
Human Services Specialist 4,6660,1
Incident Response Operations Specialist,4165,1
Industrial Hygienist 2,5706,1
Industrial Hygienist 3,5707,1
Industrial Hygienist 4,5708,1
Information Systems Specialist 2,1483,1
Information Systems Specialist 3,1483,1
Information Systems Specialist 4,1484,1
Information Systems Specialist 5,1485,1
Information Systems Specialist 6,1486,1
Information Systems Specialist 7,1487,1
Information Systems Specialist 8,1488,1
Institution Registered Nurse,6314,1
Insurance Examiner,5748,1
Insurance Examiner Entry,5747,1
Investigator 1,5331,1
Investigator 2,5333,1
Investigator 3,5333,1
Investment Analyst 1,1333,1
Investment Analyst 2,1333,1
Investment Analyst 3,1334,1
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,6633,1
Laboratory Technician 2,6811,1
Laborer/Student Worker,4116,4
Legal Secretary,110,1
Librarian,3330,1
Licensed Practical Nurse,6135,1
Livestock Brand Inspector,5430,1
Loan Specialist 1,1001,1
Loan Specialist 2,1003,1
Loan Specialist 3,1003,1
Machinist,4018,1
Mail Delivery Driver,4404,1
Mail Equipment Operator 1,403,4
Mail Equipment Operator 2,404,1
Mail Services Assistant,405,3
Manual Arts Instructor,3304,1
Medical Consultant,7538,1
Medical Laboratory Technician 1,6830,1
Medical Laboratory Technician 2,6831,1
Medical Review Coordinator,6310,1
Mental Health Security Technician,6708,1
Mental Health Therapist 1,6711,1
Mental Health Therapist 2,6713,1
Mental Health Therapy Coordinator,6718,1
Mental Health Therapy Technician,6710,1
Microbiologist 1,3779,1
Microbiologist 2,3780,1
Microbiologist 3,3781,1
Motor Carrier Enforcement Officer 1,5857,1
Motor Carrier Enforcement Officer 2,5858,1
Natural Resource Specialist 1,8501,1
Natural Resource Specialist 2,8503,1
Natural Resource Specialist 3 pay option A ,8503,1
Natural Resource Specialist 3 pay option B Hydrogeologist,8503,1
Natural Resource Specialist 3 pay option D Hydrogeologist,8503,1
Natural Resource Specialist 4 pay option A,8504,1
Natural Resource Specialist 4 pay option B Hydrogeologist,8504,1
Natural Resource Specialist 4 pay Option C Toxicologist ,8504,1
Natural Resource Specialist 4 Pay Option D Registered Sanitarian,8504,1
Natural Resource Specialist 5 Pay Option A,8505,1
Natural Resource Specialist 5 Pay Option B Hydrogeologist,8505,1
Nutrition Consultant,5955,1
Occupational Safety Specialist 1,5709,1
Occupational Safety Specialist 2,5710,1
Occupational Safety Specialist 3,5711,1
Occupational Therapist,6508,1
Office Assistant 1,101,8
Office Assistant 2,103,6
Office Coordinator,801,1
Office Specialist 1,103,3
Office Specialist 2,104,1
Operations & Policy Analyst 1,870,1
Operations & Policy Analyst 2,871,1
Operations & Policy Analyst 3,873,1
Operations & Policy Analyst 4,873,1
Painter,4001,1
Paralegal,1534,1
Park Ranger 1,8434,1
Park Ranger 2,8435,1
Park Ranger 3,8436,1
Park Ranger Assistant,8433,4
Park Specialist,8445,1
Parking Services Representative,5550,2
Parts Specialist 2,783,1
Payroll Analyst,314,1
Pharmacist,6360,1
Pharmacist 2,6363,1
Pharmacist Resident,6361,1
Pharmacy Clerk & Technician 2,6388,1
Pharmacy Clerk & Technician 3,6389,1
Physical Therapist,6503,1
Physical/Electronic Security Technician,4037,1
Physical/Electronic Security Technician 3,4039,1
Physician's Assistant,6357,1
Planner 2,1097,1
Plumber,4005,1
Preadmissions Screening Specialist,6684,1
Print Services Technician,3446,1
Printing Production Coordinator,3475,1
Procurement & Contract Specialist 1,436,1
Procurement & Contract Specialist 2,437,1
Procurement & Contract Specialist 3,438,1
Procurement And Contract Assistant,435,1
Program Analyst 1,860,1
Program Analyst 2,861,1
Program Analyst 3,863,1
Program Analyst 4,863,1
Project Manager 1,854,1
Project Manager 2,855,1
Project Manager 3,856,1
Psychiatric Social Worker,6730,1
Public Affairs Specialist 1,864,1
Public Affairs Specialist 2,865,1
Public Affairs Specialist 3,866,1
Public Health Educator 1,3337,1
Public Health Educator 2,3338,1
Public Health Nurse 2,6339,1
Public Health Toxicologist 1,3433,1
Public Service Representative 2,333,3
Public Service Representative 3,333,1
Public Service Representative 4,334,1
Radiologic Technologist,6348,1
