Position,Classification code,Current Step,current_monthly,monthly_pay_at_contract_end,difference in monthly pay,pct_change
Accountant 1,1316,1,4155,5168,1013,24.38%
Accountant 1,1316,2,4356,5418,1062,24.38%
Accountant 1,1316,3,4555,5666,1111,24.39%
Accountant 1,1316,4,4776,5941,1165,24.39%
Accountant 1,1316,5,5019,6243,1224,24.39%
Accountant 1,1316,6,5256,6538,1282,24.39%
Accountant 1,1316,7,5503,6845,1342,24.39%
Accountant 1,1316,8,5771,7178,1407,24.38%
Accountant 1,1316,9,6051,7189,1138,18.81%
Accountant 1,1316,10,6350,7205,855,13.46%
Accountant 2,1317,1,5019,6243,1224,24.39%
Accountant 2,1317,2,5256,6538,1282,24.39%
Accountant 2,1317,3,5503,6845,1342,24.39%
Accountant 2,1317,4,5771,7178,1407,24.38%
Accountant 2,1317,5,6051,7527,1476,24.39%
Accountant 2,1317,6,6350,7898,1548,24.38%
Accountant 2,1317,7,6664,8289,1625,24.38%
Accountant 2,1317,8,6982,8685,1703,24.39%
Accountant 2,1317,9,7327,8705,1378,18.81%
Accountant 2,1317,10,7678,8712,1034,13.47%
Accountant 3,1318,1,5771,7178,1407,24.38%
Accountant 3,1318,2,6051,7527,1476,24.39%
Accountant 3,1318,3,6350,7898,1548,24.38%
Accountant 3,1318,4,6664,8289,1625,24.38%
Accountant 3,1318,5,6982,8685,1703,24.39%
Accountant 3,1318,6,7327,9114,1787,24.39%
Accountant 3,1318,7,7678,9550,1872,24.38%
Accountant 3,1318,8,8057,10022,1965,24.39%
Accountant 3,1318,9,8450,10039,1589,18.80%
Accountant 3,1318,10,8870,10065,1195,13.47%
Accounting Technician,313,1,3483,4332,849,24.38%
Accounting Technician,313,2,3629,4514,885,24.39%
Accounting Technician,313,3,3790,4714,924,24.38%
Accounting Technician,313,4,3964,4930,966,24.37%
Accounting Technician,313,5,4155,5168,1013,24.38%
Accounting Technician,313,6,4356,5418,1062,24.38%
Accounting Technician,313,7,4555,5666,1111,24.39%
Accounting Technician,313,8,4776,5941,1165,24.39%
Accounting Technician,313,9,5019,5963,944,18.81%
Accounting Technician,313,10,5256,5964,708,13.47%
Activities Coordinator,6530,1,3483,4536,1053,30.23%
Activities Coordinator,6530,2,3629,4514,885,24.39%
Activities Coordinator,6530,3,3790,4714,924,24.38%
Activities Coordinator,6530,4,3964,4930,966,24.37%
Activities Coordinator,6530,5,4155,5168,1013,24.38%
Activities Coordinator,6530,6,4356,5418,1062,24.38%
Activities Coordinator,6530,7,4555,5666,1111,24.39%
Activities Coordinator,6530,8,4776,5941,1165,24.39%
Activities Coordinator,6530,9,5019,5963,944,18.81%
Activities Coordinator,6530,10,5256,5964,708,13.47%
Administrative Law Judge 1,1510,1,5771,7178,1407,24.38%
Administrative Law Judge 1,1510,2,6051,7527,1476,24.39%
Administrative Law Judge 1,1510,3,6350,7898,1548,24.38%
Administrative Law Judge 1,1510,4,6664,8289,1625,24.38%
Administrative Law Judge 1,1510,5,6982,8685,1703,24.39%
Administrative Law Judge 1,1510,6,7327,9114,1787,24.39%
