Position,Classification_Code,Starting step,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Accountant 1,1316,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Accountant 2,1317,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Accountant 3,1318,1,5771,6447,7205,676,1434,"$15,734 ",69252,86460
Accounting Technician,313,1,3483,4065,4533,582,1050,"$10,091 ",41796,54396
Activities Coordinator,6530,1,3483,4255,4746,772,1263,"$10,091 ",41796,56952
Administrative Law Judge 1,1510,1,5771,6447,7205,676,1434,"$15,734 ",69252,86460
Administrative Law Judge 2,1511,1,6664,7444,8320,780,1656,"$17,936 ",79968,99840
Administrative Law Judge 3,1513,1,8057,9002,10064,945,2007,"$21,372 ",96684,120768
Administrative Specialist 1,107,1,3218,3742,4165,524,947,"$9,437 ",38616,49980
Administrative Specialist 2,108,1,3629,4240,4731,611,1102,"$10,451 ",43548,56772
Adult Protective Service Specialist,6616,1,4555,5087,5683,532,1128,"$12,735 ",54660,68196
Aerial Photographer,3540,1,4356,4864,5433,508,1077,"$12,244 ",52272,65196
Aircraft Pilot,8333,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Appraiser Analyst 1,735,1,3335,3890,4337,555,1002,"$9,726 ",40020,52044
Appraiser Analyst 2,736,1,4555,5087,5683,532,1128,"$12,735 ",54660,68196
Appraiser Analyst 3,737,1,5256,5870,6558,614,1302,"$14,464 ",63072,78696
Appraiser Analyst 4,738,1,6051,6759,7553,708,1502,"$16,424 ",72612,90636
Apprenticeship Representative,4380,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Automotive Fleet Attendant,4417,1,0,,,,,"$1,500 ",0,
Automotive Technician 1,4418,1,3483,4065,4533,582,1050,"$10,091 ",41796,54396
Automotive Technician 2,4419,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Behavioral Health Specialist 1,6531,1,4356,4864,5433,508,1077,"$12,244 ",52272,65196
Behavioral Health Specialist 2,6534,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Behavioral Health Specialist 3,6535,1,5503,6147,6869,644,1366,"$15,073 ",66036,82428
Biological Science Assistant,3769,1,0,,,,,"$1,500 ",0,
Business & Employment Specialist 2,6699,1,3790,4229,4722,439,932,"$10,848 ",45480,56664
Carpenter,4003,1,3964,4425,4941,461,977,"$11,277 ",47568,59292
Certified Occupation Therapist Assistant,6506,1,3629,4440,4955,811,1326,"$10,451 ",43548,59460
Chaplain,6680,1,4356,4864,5433,508,1077,"$12,244 ",52272,65196
Chemist 1,3715,1,4356,4864,5433,508,1077,"$12,244 ",52272,65196
