Position,Classification_Code,Starting step,Coalition,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Accountant 1,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Accountant 2,,1,Strikeable,5019,5598,6245,579,1226,60228,74940
Accountant 3,,1,Strikeable,5771,6444,7206,673,1435,69252,86472
Accounting Technician,,1,Strikeable,3483,4036,4498,553,1015,41796,53976
Activities Coordinator,,1,Strikeable,3483,4222,4715,739,1232,41796,56580
Administrative Law Judge 1,,1,Strikeable,5771,6444,7206,673,1435,69252,86472
Administrative Law Judge 2,,1,Strikeable,6664,7436,8314,772,1650,79968,99768
Administrative Law Judge 3,,1,Strikeable,8057,8999,10065,942,2008,96684,120780
Administrative Specialist 1,,1,Strikeable,3218,3709,4118,491,900,38616,49416
Administrative Specialist 2,,1,Strikeable,3629,4222,4715,593,1086,43548,56580
Adult Protective Service Specialist,,1,Strikeable,4555,5086,5695,531,1140,54660,68340
Aerial Photographer,,1,Strikeable,4356,4851,5420,495,1064,52272,65040
Aircraft Pilot,,1,Strikeable,5019,5598,6245,579,1226,60228,74940
Appraiser Analyst 1,,1,Strikeable,3335,3865,4301,530,966,40020,51612
Appraiser Analyst 2,,1,Strikeable,4555,5086,5695,531,1140,54660,68340
Appraiser Analyst 3,,1,Strikeable,5256,5861,6549,605,1293,63072,78588
Appraiser Analyst 4,,1,Strikeable,6051,6763,7562,712,1511,72612,90744
Apprenticeship Representative,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Automotive Fleet Attendant,,1,Strikeable,0,,,,,0,
Automotive Technician 1,,1,Strikeable,3483,4036,4498,553,1015,41796,53976
Automotive Technician 2,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Behavioral Health Specialist 1,,1,Strikeable,4356,4851,5420,495,1064,52272,65040
Behavioral Health Specialist 2,,1,Strikeable,5019,5598,6245,579,1226,60228,74940
Behavioral Health Specialist 3,,1,Strikeable,5503,6146,6866,643,1363,66036,82392
Biological Science Assistant,,1,Strikeable,0,,,,,0,
Business & Employment Specialist 2,,1,Strikeable,3790,4222,4715,432,925,45480,56580
Carpenter,,1,Strikeable,3964,4425,4943,461,979,47568,59316
Certified Occupation Therapist Assistant,,1,Strikeable,3629,4425,4943,796,1314,43548,59316
Chaplain,,1,Strikeable,4356,4851,5420,495,1064,52272,65040
Chemist 1,,1,Strikeable,4356,4851,5420,495,1064,52272,65040
Chemist 2,,1,Strikeable,4776,5345,5964,569,1188,57312,71568
Chemist 3,,1,Strikeable,5503,6146,6866,643,1363,66036,82392
Child Nutrition Specialist,,1,Strikeable,5256,5861,6549,605,1293,63072,78588
Child Support Case Manager,,1,Strikeable,3790,4425,4943,635,1153,45480,59316
Child Support Case Manager Entry,,1,Strikeable,3483,4036,4498,553,1015,41796,53976
Child Support Specialist,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Civil Engineering Specialist 1,,1,Strikeable,4555,5086,5695,531,1140,54660,68340
Civil Rights Investigator 1,,1,Strikeable,3790,4425,4943,635,1153,45480,59316
Civil Rights Investigator 2,,1,Strikeable,4776,5345,5964,569,1188,57312,71568
Claims Representative 1,,1,Strikeable,3964,4425,4943,461,979,47568,59316
