Position,Classification code,Current Step,current_monthly,monthly_pay_at_contract_end,difference in monthly pay,pct_change,Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract,Difference in annual pay
Accountant 1,1316,1,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Accountant 1,1316,2,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Accountant 1,1316,3,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Accountant 1,1316,4,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Accountant 1,1316,5,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Accountant 1,1316,6,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Accountant 1,1316,7,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Accountant 1,1316,8,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Accountant 1,1316,9,6051,7189,1138,18.81%,"$16,424 ","$72,612 ","$86,268 ","$13,656 "
Accountant 1,1316,10,6350,7205,855,13.46%,"$17,162 ","$76,200 ","$86,460 ","$10,260 "
Accountant 2,1317,1,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Accountant 2,1317,2,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Accountant 2,1317,3,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Accountant 2,1317,4,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Accountant 2,1317,5,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Accountant 2,1317,6,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Accountant 2,1317,7,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Accountant 2,1317,8,6982,8685,1703,24.39%,"$18,721 ","$83,784 ","$104,220 ","$20,436 "
Accountant 2,1317,9,7327,8705,1378,18.81%,"$19,571 ","$87,924 ","$104,460 ","$16,536 "
Accountant 2,1317,10,7678,8712,1034,13.47%,"$20,437 ","$92,136 ","$104,544 ","$12,408 "
Accountant 3,1318,1,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Accountant 3,1318,2,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Accountant 3,1318,3,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Accountant 3,1318,4,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Accountant 3,1318,5,6982,8685,1703,24.39%,"$18,721 ","$83,784 ","$104,220 ","$20,436 "
Accountant 3,1318,6,7327,9114,1787,24.39%,"$19,571 ","$87,924 ","$109,368 ","$21,444 "
Accountant 3,1318,7,7678,9550,1872,24.38%,"$20,437 ","$92,136 ","$114,600 ","$22,464 "
Accountant 3,1318,8,8057,10022,1965,24.39%,"$21,372 ","$96,684 ","$120,264 ","$23,580 "
Accountant 3,1318,9,8450,10039,1589,18.80%,"$22,341 ","$101,400 ","$120,468 ","$19,068 "
Accountant 3,1318,10,8870,10065,1195,13.47%,"$23,377 ","$106,440 ","$120,780 ","$14,340 "
