Position,Classification_Code,Starting step,Coalition,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Accountant 1,1316,1,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Accountant 2,1317,1,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Accountant 3,1318,1,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Accounting Technician,313,1,Strikeable,3483,4036,4498,553,1015,10091,41796,53976
Activities Coordinator,6530,1,Strikeable,3483,4222,4715,739,1232,10091,41796,56580
Administrative Law Judge 1,1510,1,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Administrative Law Judge 2,1511,1,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Administrative Law Judge 3,1513,1,Strikeable,8057,8999,10065,942,2008,21372,96684,120780
Administrative Specialist 1,107,1,Strikeable,3218,3709,4118,491,900,9437,38616,49416
Administrative Specialist 2,108,1,Strikeable,3629,4222,4715,593,1086,10451,43548,56580
Adult Protective Service Specialist,6616,1,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Aerial Photographer,3540,1,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Aircraft Pilot,8333,1,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Appraiser Analyst 1,735,1,Strikeable,3335,3865,4301,530,966,9726,40020,51612
Appraiser Analyst 2,736,1,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Appraiser Analyst 3,737,1,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Appraiser Analyst 4,738,1,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Apprenticeship Representative,4380,1,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Automotive Fleet Attendant,4417,1,Strikeable,0,,,,,1500,0,
Automotive Technician 1,4418,1,Strikeable,3483,4036,4498,553,1015,10091,41796,53976
Automotive Technician 2,4419,1,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Behavioral Health Specialist 1,6531,1,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Behavioral Health Specialist 2,6534,1,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Behavioral Health Specialist 3,6535,1,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Biological Science Assistant,3769,1,Strikeable,0,,,,,1500,0,
Business & Employment Specialist 2,6699,1,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Carpenter,4003,1,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Certified Occupation Therapist Assistant,6506,1,Strikeable,3629,4425,4943,796,1314,10451,43548,59316
Chaplain,6680,1,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
